,0
2017-12-19 20:15:00,49.027313092947004
2017-12-19 21:15:00,47.42970591664314
2017-12-19 22:15:00,43.176310144066804
2017-12-19 23:15:00,37.157326917946335
2017-12-20 00:15:00,33.040488676428794
2017-12-20 01:15:00,35.573016002178186
2017-12-20 02:15:00,38.97207811981439
2017-12-20 03:15:00,38.8166085344553
2017-12-20 04:15:00,38.46161327183246
2017-12-20 05:15:00,35.05200000345707
2017-12-20 06:15:00,31.699727406203742
2017-12-20 07:15:00,39.23185019612312
2017-12-20 08:15:00,57.9055647188425
2017-12-20 09:15:00,76.5387742704153
2017-12-20 10:15:00,76.63372586607932
2017-12-20 11:15:00,61.26340054392814
2017-12-20 12:15:00,47.534662561416624
2017-12-20 13:15:00,39.49883256614208
2017-12-20 14:15:00,45.59773645162582
